"LTER_site","date","species","sensor_node","soil_sensor","plot_name","year","surveyed_by","multi.hit_or_top.hit","abundance","Note","USDA_code","corrected_NWT_name"
"NWT",2017-07-11,"FESBRA",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",2,"NaN","FEBR","Festuca brachyphylla"
"NWT",2017-07-11,"KOBMYO",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",7,"NaN","KOMY","Kobresia myosuroides"
"NWT",2017-07-11,"Lichen",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",3,"NaN","2LICHN","Unknown lichen"
"NWT",2017-07-11,"Litter",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",15,"NaN","2LTR","Litter"
"NWT",2017-07-11,"LLOSER",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",2,"NaN","LLSE","Lloydia serotina"
"NWT",2017-07-11,"LUZSPI",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",2,"NaN","LUSP4","Luzula spicata ssp. saximontana"
"NWT",2017-07-11,"MINOBT",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",10,"NaN","MIOB2","Minuartia obtusiloba"
"NWT",2017-07-11,"OREALP",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",1,"NaN","ORALA","Oreoxis alpina ssp. alpina"
"NWT",2017-07-11,"PARPUL",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",1,"NaN","PAPU2","Paronychia pulvinata"
"NWT",2017-07-11,"Rock",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",21,"NaN","2RF","Rock"
"NWT",2017-07-11,"SEDLAN",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",0.5,"NaN","SELA","Sedum lanceolatum"
"NWT",2017-07-11,"SELDEN",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",1,"NaN","SEDES","Selaginella densa var. scopulorum"
"NWT",2017-07-11,"SILACA",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",1,"NaN","SIACS2","Silene acaulis ssp. subacaulescens"
"NWT",2017-07-11,"Soil",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",4,"NaN","2BARE","Soil"
"NWT",2017-07-11,"TETACA",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",0.5,"NaN","TEACC","Hymenoxys acaulis"
"NWT",2017-07-11,"TONPYG",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",0.5,"NaN","TOPY","Haplopappus pygmaeus"
"NWT",2017-07-11,"TRIDAS",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",7,"NaN","TRDA2","Trifolium dasyphyllum"
"NWT",2017-07-11,"ACOROS",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",9,"NaN","GEROT","Acomastylis rossii"
"NWT",2017-07-11,"ALLGEY",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",1,"NaN","ALGE","Allium geyeri"
"NWT",2017-07-11,"ANTMED",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",0.5,"Unconfirmed","ANME2","Antennaria alpina"
"NWT",2017-07-11,"AREFEN",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",1,"NaN","ARFET3","Arenaria fendleri var. tweedyi"
"NWT",2017-07-11,"ARTPAT",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",0.5,"NaN","ARPA18","Artemisia pattersonii"
"NWT",2017-07-11,"ARTSCO",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",3,"NaN","ARSC","Artemisia scopulorum"
"NWT",2017-07-11,"BISVIV",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",12,"NaN","POVI3","Bistorta vivipara"
"NWT",2017-07-11,"CAMUNI",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",0.5,"NaN","CAUN2","Campanula uniflora"
"NWT",2017-07-11,"CARRUP",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",18,"NaN","CARUD","Carex rupestris ssp. drummondiana"
"NWT",2017-07-11,"CARSCO",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",2,"NaN","CASCS2","Carex scopulorum var. scopulorum"
"NWT",2017-07-11,"CHIJAM",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",0.5,"NaN","CHJA","Chionophila jamesii"
"NWT",2017-07-11,"DODPUL",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",2,"NaN","DOPU","Dodecatheon pulchellum"
"NWT",2017-07-11,"ERINAN",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",0.5,"NaN","ERNA","Eritrichium aretioides"
"NWT",2017-07-11,"ERISIM",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",0.5,"NaN","ERSI3","Erigeron simplex"
"NWT",2017-07-11,"GENALG",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",1,"NaN","GEAL2","Gentiana algida"
"NWT",2017-07-11,"KOBMYO",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",14,"NaN","KOMY","Kobresia myosuroides"
"NWT",2017-07-11,"Lichen",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",3,"NaN","2LICHN","Unknown lichen"
"NWT",2017-07-11,"Litter",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",7,"NaN","2LTR","Litter"
"NWT",2017-07-11,"LLOSER",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",11,"NaN","LLSE","Lloydia serotina"
"NWT",2017-07-11,"MINOBT",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",0.5,"NaN","MIOB2","Minuartia obtusiloba"
"NWT",2017-07-11,"OREALP",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",0.5,"NaN","ORALA","Oreoxis alpina ssp. alpina"
"NWT",2017-07-11,"POTRUB",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",0.5,"NaN","PORU3","Potentilla rubricaulis"
"NWT",2017-07-11,"SAXRHO",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",0.5,"NaN","SARH2","Saxifraga rhomboidea"
"NWT",2017-07-11,"SEDLAN",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",0.5,"NaN","SELA","Sedum lanceolatum"
"NWT",2017-07-11,"SILACA",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",2,"NaN","SIACS2","Silene acaulis ssp. subacaulescens"
"NWT",2017-07-11,"Soil",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",12,"NaN","2BARE","Soil"
"NWT",2017-07-11,"TETACA",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",0.5,"NaN","TEACC","Hymenoxys acaulis"
"NWT",2017-07-11,"TONPYG",21,3,21.3,2017,"Kelsey Elwood, AJ Lodge, Jo S","top-hit",1,"Unconfirmed","TOPY","Haplopappus pygmaeus"
"NWT",2017-07-12,"ACOROS",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",4,"NaN","GEROT","Acomastylis rossii"
"NWT",2017-07-12,"AREFEN",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",1,"NaN","ARFET3","Arenaria fendleri var. tweedyi"
"NWT",2017-07-12,"BISBIS",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",0.5,"NaN","POBI6","Bistorta bistortoides"
"NWT",2017-07-12,"CALPUR",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",0.5,"NaN","CAPU","Calamagrostis purpurascens"
"NWT",2017-07-12,"CAMROT",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",1,"NaN","CARO2","Campanula rotundifolia"
"NWT",2017-07-12,"CARRUP",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",4,"NaN","CARUD","Carex rupestris ssp. drummondiana"
"NWT",2017-07-12,"CASOCC",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",0.5,"NaN","CAOC4","Castilleja occidentalis"
"NWT",2017-07-12,"ERINAN",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",0.5,"NaN","ERNA","Eritrichium aretioides"
"NWT",2017-07-12,"ERIPIN",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",1,"NaN","ERPI6","Erigeron pinnatisectus"
"NWT",2017-07-12,"ERYCAP",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",0.5,"NaN","ERCA14","Erysimum capitatum"
"NWT",2017-07-12,"FESBRA",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",0.5,"NaN","FEBR","Festuca brachyphylla"
"NWT",2017-07-12,"HELMOR",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",6,"NaN","HEMO3","Helictotrichon mortonianum"
"NWT",2017-07-12,"Litter",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",16,"NaN","2LTR","Litter"
"NWT",2017-07-12,"LLOSER",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",0.5,"NaN","LLSE","Lloydia serotina"
"NWT",2017-07-12,"LUZSPI",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",0.5,"NaN","LUSP4","Luzula spicata ssp. saximontana"
"NWT",2017-07-12,"MINOBT",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",0.5,"NaN","MIOB2","Minuartia obtusiloba"
"NWT",2017-07-12,"OREALP",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",9,"NaN","ORALA","Oreoxis alpina ssp. alpina"
"NWT",2017-07-12,"POAGLA",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",2,"NaN","POGLR2","Poa glauca var. rupicola"
"NWT",2017-07-12,"Rock",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",9,"NaN","2RF","Rock"
"NWT",2017-07-12,"SEDLAN",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",0.5,"NaN","SELA","Sedum lanceolatum"
"NWT",2017-07-12,"SELDEN",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",0.5,"NaN","SEDES","Selaginella densa var. scopulorum"
"NWT",2017-07-12,"SILACA",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",5,"NaN","SIACS2","Silene acaulis ssp. subacaulescens"
"NWT",2017-07-12,"Soil",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",1,"NaN","2BARE","Soil"
"NWT",2017-07-12,"TETACA",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",0.5,"NaN","TEACC","Hymenoxys acaulis"
"NWT",2017-07-12,"TETGRA",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",0.5,"NaN","TEGR3","Hymenoxys grandiflora"
"NWT",2017-07-12,"TRIDAS",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",38,"NaN","TRDA2","Trifolium dasyphyllum"
"NWT",2017-07-12,"TRIPAR",9,2,9.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",3,"NaN","TRPAP","Trifolium parryi ssp. parryi"
"NWT",2017-07-14,"ACHMIL",11,2,11.2,2017,"Kelsey Elwood, AJ Lodge, LZ","top-hit",11,"NaN","ACMIA","Achillea lanulosa ssp. alpicola"
"NWT",2017-07-14,"ACOROS",11,2,11.2,2017,"Kelsey Elwood, AJ Lodge, LZ","top-hit",29,"NaN","GEROT","Acomastylis rossii"
"NWT",2017-07-14,"ALLGEY",11,2,11.2,2017,"Kelsey Elwood, AJ Lodge, LZ","top-hit",2,"NaN","ALGE","Allium geyeri"
"NWT",2017-07-14,"CARSIC",11,2,11.2,2017,"Kelsey Elwood, AJ Lodge, LZ","top-hit",36,"NaN","CASI12","Carex foenea"
"NWT",2017-07-14,"ELYSCR",11,2,11.2,2017,"Kelsey Elwood, AJ Lodge, LZ","top-hit",3,"NaN","ELSC4","Elymus scribneri"
"NWT",2017-07-14,"Litter",11,2,11.2,2017,"Kelsey Elwood, AJ Lodge, LZ","top-hit",19,"NaN","2LTR","Litter"
"NWT",2017-07-14,"ACHMIL",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",0.5,"NaN","ACMIA","Achillea lanulosa ssp. alpicola"
"NWT",2017-07-14,"ACOROS",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",2,"NaN","GEROT","Acomastylis rossii"
"NWT",2017-07-14,"ANTMED",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",1,"NaN","ANME2","Antennaria alpina"
"NWT",2017-07-14,"AREFEN",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",4,"NaN","ARFET3","Arenaria fendleri var. tweedyi"
"NWT",2017-07-14,"ARTSCO",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",2,"NaN","ARSC","Artemisia scopulorum"
"NWT",2017-07-14,"BISBIS",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",2,"NaN","POBI6","Bistorta bistortoides"
"NWT",2017-07-14,"CARRUP",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",9,"NaN","CARUD","Carex rupestris ssp. drummondiana"
"NWT",2017-07-14,"CHIJAM",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",2,"NaN","CHJA","Chionophila jamesii"
"NWT",2017-07-14,"DESCAE",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",11,"NaN","DECE","Deschampsia caespitosa"
"NWT",2017-07-14,"ERISIM",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",0.5,"NaN","ERSI3","Erigeron simplex"
"NWT",2017-07-14,"FESBRA",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",3,"NaN","FEBR","Festuca brachyphylla"
"NWT",2017-07-14,"GENALG",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",0.5,"NaN","GEAL2","Gentiana algida"
"NWT",2017-07-14,"KOBMYO",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",3,"NaN","KOMY","Kobresia myosuroides"
"NWT",2017-07-14,"LEWPYG",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",0.5,"NaN","LEPY2","Lewisia pygmaea var. pygmaea"
"NWT",2017-07-14,"Litter",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",24,"NaN","2LTR","Litter"
"NWT",2017-07-14,"LLOSER",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",3,"NaN","LLSE","Lloydia serotina"
"NWT",2017-07-14,"LUZSPI",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",4,"NaN","LUSP4","Luzula spicata ssp. saximontana"
"NWT",2017-07-14,"MERLAN",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",0.5,"NaN","MELA3","Mertensia lanceolata"
"NWT",2017-07-14,"MINOBT",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",5,"NaN","MIOB2","Minuartia obtusiloba"
"NWT",2017-07-14,"NOCFEN",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",0.5,"NaN","NOFEG","Noccaea montana var. montana"
"NWT",2017-07-14,"OREALP",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",0.5,"NaN","ORALA","Oreoxis alpina ssp. alpina"
"NWT",2017-07-14,"PHLPUL",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",0.5,"NaN","PHPU5","Phlox pulvinata"
"NWT",2017-07-14,"POTDIV",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",2,"NaN","PODI2","Potentilla diversifolia"
"NWT",2017-07-14,"Rock",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",2,"NaN","2RF","Rock"
"NWT",2017-07-14,"SAXRHO",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",0.5,"NaN","SARH2","Saxifraga rhomboidea"
"NWT",2017-07-14,"SEDLAN",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",2,"NaN","SELA","Sedum lanceolatum"
"NWT",2017-07-14,"SELDEN",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",1,"NaN","SEDES","Selaginella densa var. scopulorum"
"NWT",2017-07-14,"Soil",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",12,"NaN","2BARE","Soil"
"NWT",2017-07-14,"TETGRA",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",3,"NaN","TEGR3","Hymenoxys grandiflora"
"NWT",2017-07-14,"TRIPAR",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",3,"NaN","TRPAP","Trifolium parryi ssp. parryi"
"NWT",2017-07-14,"TRISPI",14,2,14.2,2017,"Kelsey Elwood, AJ Lodge","top-hit",0.5,"NaN","TRSP2","Trisetum spicatum"
"NWT",2017-07-19,"ACOROS",7,2,7.2,2017,"Kelsey Elwood, Amanda J Lodge, MS, and Jo","top-hit",12,"NaN","GEROT","Acomastylis rossii"
"NWT",2017-07-19,"ARTSCO",7,2,7.2,2017,"Kelsey Elwood, Amanda J Lodge, MS, and Jo","top-hit",12,"NaN","ARSC","Artemisia scopulorum"
"NWT",2017-07-19,"BISBIS",7,2,7.2,2017,"Kelsey Elwood, Amanda J Lodge, MS, and Jo","top-hit",2,"NaN","POBI6","Bistorta bistortoides"
"NWT",2017-07-19,"BISVIV",7,2,7.2,2017,"Kelsey Elwood, Amanda J Lodge, MS, and Jo","top-hit",3,"NaN","POVI3","Bistorta vivipara"
"NWT",2017-07-19,"CARSCO",7,2,7.2,2017,"Kelsey Elwood, Amanda J Lodge, MS, and Jo","top-hit",23,"NaN","CASCS2","Carex scopulorum var. scopulorum"
"NWT",2017-07-19,"CASOCC",7,2,7.2,2017,"Kelsey Elwood, Amanda J Lodge, MS, and Jo","top-hit",0.5,"NaN","CAOC4","Castilleja occidentalis"
"NWT",2017-07-19,"DESCAE",7,2,7.2,2017,"Kelsey Elwood, Amanda J Lodge, MS, and Jo","top-hit",22,"NaN","DECE","Deschampsia caespitosa"
"NWT",2017-07-19,"ERISIM",7,2,7.2,2017,"Kelsey Elwood, Amanda J Lodge, MS, and Jo","top-hit",1,"NaN","ERSI3","Erigeron simplex"
"NWT",2017-07-19,"GENALG",7,2,7.2,2017,"Kelsey Elwood, Amanda J Lodge, MS, and Jo","top-hit",2,"NaN","GEAL2","Gentiana algida"
"NWT",2017-07-19,"Litter",7,2,7.2,2017,"Kelsey Elwood, Amanda J Lodge, MS, and Jo","top-hit",11,"NaN","2LTR","Litter"
"NWT",2017-07-19,"LLOSER",7,2,7.2,2017,"Kelsey Elwood, Amanda J Lodge, MS, and Jo","top-hit",4,"NaN","LLSE","Lloydia serotina"
"NWT",2017-07-19,"LUZSPI",7,2,7.2,2017,"Kelsey Elwood, Amanda J Lodge, MS, and Jo","top-hit",0.5,"NaN","LUSP4","Luzula spicata ssp. saximontana"
"NWT",2017-07-19,"POTDIV",7,2,7.2,2017,"Kelsey Elwood, Amanda J Lodge, MS, and Jo","top-hit",0.5,"NaN","PODI2","Potentilla diversifolia"
"NWT",2017-07-19,"RHOINT",7,2,7.2,2017,"Kelsey Elwood, Amanda J Lodge, MS, and Jo","top-hit",0.5,"NaN","RHIN11","Rhodiola integrifolia"
"NWT",2017-07-19,"SEDLAN",7,2,7.2,2017,"Kelsey Elwood, Amanda J Lodge, MS, and Jo","top-hit",1,"NaN","SELA","Sedum lanceolatum"
"NWT",2017-07-19,"STELON",7,2,7.2,2017,"Kelsey Elwood, Amanda J Lodge, MS, and Jo","top-hit",0.5,"NaN","STLO2","Stellaria longipes"
"NWT",2017-07-19,"TRIPAR",7,2,7.2,2017,"Kelsey Elwood, Amanda J Lodge, MS, and Jo","top-hit",6,"NaN","TRPAP","Trifolium parryi ssp. parryi"
"NWT",2017-07-19,"TRISPI",7,2,7.2,2017,"Kelsey Elwood, Amanda J Lodge, MS, and Jo","top-hit",1,"NaN","TRSP2","Trisetum spicatum"
"NWT",2017-07-20,"ACOROS",6,2,6.2,2017,"Kelsey Elwood, Amanda J Lodge, and LZ","top-hit",32,"NaN","GEROT","Acomastylis rossii"
"NWT",2017-07-20,"ARTSCO",6,2,6.2,2017,"Kelsey Elwood, Amanda J Lodge, and LZ","top-hit",10,"NaN","ARSC","Artemisia scopulorum"
"NWT",2017-07-20,"BISBIS",6,2,6.2,2017,"Kelsey Elwood, Amanda J Lodge, and LZ","top-hit",5,"NaN","POBI6","Bistorta bistortoides"
"NWT",2017-07-20,"DESCAE",6,2,6.2,2017,"Kelsey Elwood, Amanda J Lodge, and LZ","top-hit",9,"NaN","DECE","Deschampsia caespitosa"
"NWT",2017-07-20,"FESBRA",6,2,6.2,2017,"Kelsey Elwood, Amanda J Lodge, and LZ","top-hit",0.5,"NaN","FEBR","Festuca brachyphylla"
"NWT",2017-07-20,"Litter",6,2,6.2,2017,"Kelsey Elwood, Amanda J Lodge, and LZ","top-hit",15,"NaN","2LTR","Litter"
"NWT",2017-07-20,"MINOBT",6,2,6.2,2017,"Kelsey Elwood, Amanda J Lodge, and LZ","top-hit",0.5,"NaN","MIOB2","Minuartia obtusiloba"
"NWT",2017-07-20,"POTDIV",6,2,6.2,2017,"Kelsey Elwood, Amanda J Lodge, and LZ","top-hit",4,"NaN","PODI2","Potentilla diversifolia"
"NWT",2017-07-20,"SIBPRO",6,2,6.2,2017,"Kelsey Elwood, Amanda J Lodge, and LZ","top-hit",19,"NaN","SIPR","Sibbaldia procumbens"
"NWT",2017-07-20,"Soil",6,2,6.2,2017,"Kelsey Elwood, Amanda J Lodge, and LZ","top-hit",3,"NaN","2BARE","Soil"
"NWT",2017-07-20,"TRIPAR",6,2,6.2,2017,"Kelsey Elwood, Amanda J Lodge, and LZ","top-hit",3,"NaN","TRPAP","Trifolium parryi ssp. parryi"
"NWT",2017-07-20,"TRISPI",6,2,6.2,2017,"Kelsey Elwood, Amanda J Lodge, and LZ","top-hit",0.5,"NaN","TRSP2","Trisetum spicatum"
"NWT",2017-07-20,"VIOADU",6,2,6.2,2017,"Kelsey Elwood, Amanda J Lodge, and LZ","top-hit",0.5,"NaN","VIAD","Viola adunca"
"NWT",2017-07-20,"ACOROS",12,2,12.2,2017,"Kelsey Elwood, AJ Lodge, LZ","top-hit",24,"NaN","GEROT","Acomastylis rossii"
"NWT",2017-07-20,"ARTSCO",12,2,12.2,2017,"Kelsey Elwood, AJ Lodge, LZ","top-hit",7,"NaN","ARSC","Artemisia scopulorum"
"NWT",2017-07-20,"BISBIS",12,2,12.2,2017,"Kelsey Elwood, AJ Lodge, LZ","top-hit",7,"NaN","POBI6","Bistorta bistortoides"
"NWT",2017-07-20,"BISVIV",12,2,12.2,2017,"Kelsey Elwood, AJ Lodge, LZ","top-hit",0.5,"NaN","POVI3","Bistorta vivipara"
"NWT",2017-07-20,"CALLEP",12,2,12.2,2017,"Kelsey Elwood, AJ Lodge, LZ","top-hit",2,"NaN","CALE4","Caltha leptosepala"
"NWT",2017-07-20,"CARSCO",12,2,12.2,2017,"Kelsey Elwood, AJ Lodge, LZ","top-hit",3,"NaN","CASCS2","Carex scopulorum var. scopulorum"
"NWT",2017-07-20,"CASOCC",12,2,12.2,2017,"Kelsey Elwood, AJ Lodge, LZ","top-hit",0.5,"NaN","CAOC4","Castilleja occidentalis"
"NWT",2017-07-20,"DESCAE",12,2,12.2,2017,"Kelsey Elwood, AJ Lodge, LZ","top-hit",21,"NaN","DECE","Deschampsia caespitosa"
"NWT",2017-07-20,"ERISIM",12,2,12.2,2017,"Kelsey Elwood, AJ Lodge, LZ","top-hit",0.5,"NaN","ERSI3","Erigeron simplex"
"NWT",2017-07-20,"FESBRA",12,2,12.2,2017,"Kelsey Elwood, AJ Lodge, LZ","top-hit",1,"NaN","FEBR","Festuca brachyphylla"
"NWT",2017-07-20,"GENALG",12,2,12.2,2017,"Kelsey Elwood, AJ Lodge, LZ","top-hit",8,"NaN","GEAL2","Gentiana algida"
"NWT",2017-07-20,"LEWPYG",12,2,12.2,2017,"Kelsey Elwood, AJ Lodge, LZ","top-hit",0.5,"NaN","LEPY2","Lewisia pygmaea var. pygmaea"
"NWT",2017-07-20,"Litter",12,2,12.2,2017,"Kelsey Elwood, AJ Lodge, LZ","top-hit",7,"NaN","2LTR","Litter"
